# Comparison study: pair detection vs alternatives
# Time in seconds; T/O = timeout (30 s)
# Generated by run-comparison-study.sh
benchmark	cbmc_default	cbmc_refine_pair	cbmc_refine_no_pair	cbmc_xor_gauss	cryptominisat	bitwuzla
stored_comm           	T/O	1.23	T/O	T/O	T/O	0.03
stored_comm32         	T/O	1.37	T/O	T/O	T/O	0.03
sub_comm              	0.03	0.03	0.03	0.03	0.04	0.03
assoc_stored          	T/O	1.38	T/O	T/O	T/O	0.03
distrib_simple        	T/O	16.66	T/O	T/O	T/O	0.03
widen_mul             	T/O	0.03	T/O	T/O	T/O	0.03
mod_mul               	5.24	1.47	4.89	5.22	16.61	0.03
comm                  	0.03	0.03	0.03	0.03	0.03	0.03
distrib               	0.02	0.03	0.03	0.03	0.03	0.03
assoc                 	1.25	1.26	1.26	1.25	1.25	0.04
hash_mul              	T/O	T/O	T/O	T/O	T/O	0.03
mac_equiv             	0.03	0.03	0.03	0.03	0.04	0.03
matrix_mul            	0.03	0.03	0.03	0.03	0.04	0.03
matrix_trace_16       	0.04	0.03	0.03	0.04	0.06	0.03
